"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"","","","","","","","","","","","","","","","","","","","","","","","","","Wing Attack","Flying","9","Fire Blast","Fire","100","","","","","","","","","","","","","","","","","","5","Charmeleon","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"007","Squirtle","Generation I","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bubble","Water","25","Aqua Jet","Water","25","7.88kg","10.13kg","0.44m","0.56m","3km (Medium)","88 stamina points.","94 attack points.","122 defense points.","10% chance to flee.","","","","","","","","","","","25","Squirtle candies","8","Wartortle","891","1008"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Aqua Tail","Water","45","","","","","","","","","","","","","","","","","","","","","","9","Blastoise","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"008","Wartortle","Generation I","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bite","Dark","6","Aqua Jet","Water","25","19.69kg","25.31kg","0.88m","1.13m","3km (Medium)","118 stamina points.","126 attack points.","155 defense points.","7% chance to flee.","","","","","","","","","7","Squirtle","100","Squirtle candies","9","Blastoise","1435","1582"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ice Beam","Ice","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"009","Blastoise","Generation I","Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bite","Dark","6","Flash Cannon","Steel","60","74.81kg","96.19kg","1.4m","1.8m","3km (Big)","158 stamina points.","171 attack points.","210 defense points.","5% chance to flee.","","","","","","","","","7","Squirtle","","","","","2355","2542"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","8","Wartortle","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ice Beam","Ice","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"010","Caterpie","Generation I","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Bug","","Grass","Fighting","Ground","","","","","","","","","","Fire","Flying","Rock","","","","","Bug Bite","Bug","5","Struggle","Normal","15","2.54kg","3.26kg","0.26m","0.34m","1km (Shoulder)","90 stamina points.","55 attack points.","62 defense points.","20% chance to flee.","","","","","","","","","","","12","Caterpie candies","11","Metapod","367","443"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","12","Butterfree","",""
"011","Metapod","Generation I","The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.","Bug","","Grass","Fighting","Ground","","","","","","","","","","Fire","Flying","Rock","","","","","Bug Bite","Bug","5","Struggle","Normal","15","8.66kg","11.14kg","0.61m","0.79m","1km (Medium)","100 stamina points.","45 attack points.","94 defense points.","9% chance to flee.","","","","","","","","","10","Caterpie","50","Caterpie candies","12","Butterfree","397","477"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"012","Butterfree","Generation I","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","Bug","Flying","Grass","Fighting","Ground","Bug","","","","","","","","","Fire","Electric","Ice","Flying","Rock","","","Bug Bite","Bug","5","Bug Buzz","Bug","75","28kg","36kg","0.96m","1.24m","1km (Flying)","120 stamina points.","167 attack points.","151 defense points.","6% chance to flee.","","","","","","","","","10","Caterpie","","","","","1315","1454"
"","","","","","","","","","","","","","","","","","","","","","","","","","Confusion","Psychic","15","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","11","Metapod","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Signal Beam","Bug","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"013","Weedle","Generation I","Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).","Bug","Poison","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Fire","Flying","Psychic","Rock","","","","Bug Bite","Bug","5","Struggle","Normal","15","2.8kg","3.6kg","0.26m","0.34m","1km (Shoulder)","80 stamina points.","63 attack points.","55 defense points.","20% chance to flee.","","","","","","","","","","","12","Weedle candies","14","Kakuna","372","449"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","","","","","","","","","","","","","","","","","","","","","","","","","15","Beedrill","",""
"014","Kakuna","Generation I","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","Bug","Poison","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Fire","Flying","Psychic","Rock","","","","Bug Bite","Bug","5","Struggle","Normal","15","8.75kg","11.25kg","0.53m","0.68m","1km (Medium)","90 stamina points.","46 attack points.","86 defense points.","9% chance to flee.","","","","","","","","","13","Weedle","50","Weedle candies","15","Beedrill","405","485"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"015","Beedrill","Generation I","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","Bug","Poison","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Fire","Flying","Psychic","Rock","","","","Bug Bite","Bug","5","Aerial Ace","Flying","30","25.81kg","33.19kg","0.88m","1.13m","1km (Flying)","130 stamina points.","169 attack points.","150 defense points.","6% chance to flee.","","","","","","","","","13","Weedle","","","","","1301","1439"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","14","Kakuna","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","X Scissor","Bug","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"016","Pidgey","Generation I","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Quick Attack","Normal","10","Aerial Ace","Flying","30","1.57kg","2.02kg","0.26m","0.34m","1km (Shoulder)","80 stamina points.","85 attack points.","76 defense points.","20% chance to flee.","","","","","","","","","","","12","Pidgey candies","17","Pidgeotto","585","679"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Air Cutter","Flying","30","","","","","","","","","","","","","","","","","","","","","","18","Pidgeot","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"017","Pidgeotto","Generation I","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Steel Wing","Steel","15","Aerial Ace","Flying","30","26.25kg","33.75kg","0.96m","1.24m","1km (Flying)","126 stamina points.","117 attack points.","108 defense points.","9% chance to flee.","","","","","","","","","16","Pidgey","50","Pidgey candies","18","Pidgeot","1096","1223"
"","","","","","","","","","","","","","","","","","","","","","","","","","Wing Attack","Flying","9","Air Cutter","Flying","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"019","Rattata","Generation I","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Quick Attack","Normal","10","Body Slam","Normal","40","3.06kg","3.94kg","0.26m","0.34m","1km (Medium)","60 stamina points.","103 attack points.","70 defense points.","20% chance to flee.","","","","","","","","","","","25","Rattata candies","20","Raticate","493","581"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Dig","Ground","70","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyper Fang","Normal","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"020","Raticate","Generation I","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Bite","Dark","6","Dig","Ground","70","16.19kg","20.81kg","0.61m","0.79m","1km (Medium)","110 stamina points.","161 attack points.","144 defense points.","7% chance to flee.","","","","","","","","","19","Rattata","","","","","1304","1444"
"","","","","","","","","","","","","","","","","","","","","","","","","","Quick Attack","Normal","10","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyper Fang","Normal","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"021","Spearow","Generation I","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Peck","Flying","10","Aerial Ace","Flying","30","1.75kg","2.25kg","0.26m","0.34m","1km (Shoulder)","80 stamina points.","112 attack points.","61 defense points.","15% chance to flee.","","","","","","","","","","","50","Spearow candies","22","Fearow","591","686"
"","","","","","","","","","","","","","","","","","","","","","","","","","Quick Attack","Normal","10","Drill Peck","Flying","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"022","Fearow","Generation I","Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Peck","Flying","10","Aerial Ace","Flying","30","33.25kg","42.75kg","1.05m","1.35m","1km (Flying)","130 stamina points.","182 attack points.","135 defense points.","7% chance to flee.","","","","","","","","","21","Spearow","","","","","1592","1746"
"","","","","","","","","","","","","","","","","","","","","","","","","","Steel Wing","Steel","15","Drill Run","Ground","50","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"023","Ekans","Generation I","Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Acid","Poison","10","Gunk Shot","Poison","65","6.04kg","7.76kg","1.75m","2.25m","3km (Medium)","70 stamina points.","110 attack points.","102 defense points.","15% chance to flee.","","","","","","","","","","","50","Ekans candies","24","Arbok","718","824"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wrap","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"024","Arbok","Generation I","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Acid","Poison","10","Dark Pulse","Dark","45","56.88kg","73.13kg","3.06m","3.94m","3km (Big)","120 stamina points.","167 attack points.","158 defense points.","7% chance to flee.","","","","","","","","","23","Ekans","","","","","1611","1767"
"","","","","","","","","","","","","","","","","","","","","","","","","","Bite","Dark","6","Gunk Shot","Poison","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Wave","Poison","70","","","","","","","","","","","","","","","","","","","","","","","","",""
"025","Pikachu","Generation I","Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Quick Attack","Normal","10","Discharge","Electric","35","5.25kg","6.75kg","0.35m","0.45m","1km (Shoulder)","70 stamina points.","112 attack points.","101 defense points.","10% chance to flee.","","","","","","","","","172","Pichu","50","Pikachu candies","26","Raichu","777","887"
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Thunder","Electric","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"026","Raichu","Generation I","If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Spark","Electric","7","Brick Break","Fighting","30","26.25kg","33.75kg","0.7m","0.9m","1km (Medium)","120 stamina points.","193 attack points.","165 defense points.","6% chance to flee.","","","","","","","","","172","Pichu","","","","","1859","2028"
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Thunder","Electric","100","","","","","","","","","","","","","","","","","","25","Pikachu","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Punch","Electric","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"027","Sandshrew","Generation I","Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Mud Shot","Ground","6","Dig","Ground","70","10.5kg","13.5kg","0.53m","0.68m","3km (Medium)","100 stamina points.","126 attack points.","145 defense points.","10% chance to flee.","","","","","","","","","","","50","Sandshrew candies","28","Sandslash","695","798"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Rock Slide","Rock","50","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"028","Sandslash","Generation I","Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Metal Claw","Steel","8","Bulldoze","Ground","35","25.81kg","33.19kg","0.88m","1.13m","3km (Medium)","150 stamina points.","182 attack points.","202 defense points.","6% chance to flee.","","","","","","","","","27","Sandshrew","","","","","1654","1810"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Shot","Ground","6","Earthquake","Ground","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"029","Nidoran ♀","Generation I","Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Bite","Dark","6","Body Slam","Normal","40","6.13kg","7.88kg","0.35m","0.45m","3km (Medium)","110 stamina points.","86 attack points.","94 defense points.","15% chance to flee.","","","","","","","","","","","25","Nidoran Female candies","30","Nidorina","768","876"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Poison Fang","Poison","25","","","","","","","","","","","","","","","","","","","","","","31","Nidoqueen","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"030","Nidorina","Generation I","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Bite","Dark","6","Dig","Ground","70","17.5kg","22.5kg","0.7m","0.9m","3km (Medium)","140 stamina points.","117 attack points.","126 defense points.","7% chance to flee.","","","","","","","","","29","Nidoran","100","Nidoran Female candies","31","Nidoqueen","1267","1404"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Poison Fang","Poison","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"031","Nidoqueen","Generation I","Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.","Poison","Ground","Electric","Fighting","Poison","Bug","Rock","Fairy","","","","","","","Water","Ice","Ground","Psychic","","","","Bite","Dark","6","Earthquake","Ground","100","52.5kg","67.5kg","1.14m","1.46m","3km (Big)","180 stamina points.","180 attack points.","174 defense points.","5% chance to flee.","","","","","","","","","29","Nidoran","","","","","2301","2485"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Sludge Wave","Poison","70","","","","","","","","","","","","","","","","","","30","Nidorina","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"032","Nidoran ♂","Generation I","Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Peck","Flying","10","Body Slam","Normal","40","7.88kg","10.13kg","0.44m","0.56m","3km (Medium)","92 stamina points.","105 attack points.","76 defense points.","15% chance to flee.","","","","","","","","","","","25","Nidoran Male candies","33","Nidorino","737","843"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Horn Attack","Normal","25","","","","","","","","","","","","","","","","","","","","","","34","Nidoking","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"033","Nidorino","Generation I","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Poison Jab","Poison","12","Dig","Ground","70","17.06kg","21.94kg","0.79m","1.01m","3km (Medium)","122 stamina points.","137 attack points.","112 defense points.","7% chance to flee.","","","","","","","","","32","Nidoran","100","Nidoran Male candies","34","Nidoking","1236","1372"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Horn Attack","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"034","Nidoking","Generation I","Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","Poison","Ground","Electric","Fighting","Poison","Bug","Rock","Fairy","","","","","","","Water","Ice","Ground","Psychic","","","","Fury Cutter","Bug","3","Earthquake","Ground","100","54.25kg","69.75kg","1.22m","1.57m","3km (Big)","162 stamina points.","204 attack points.","157 defense points.","5% chance to flee.","","","","","","","","","32","Nidoran","","","","","2291","2475"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Megahorn","Bug","80","","","","","","","","","","","","","","","","","","33","Nidorino","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Wave","Poison","70","","","","","","","","","","","","","","","","","","","","","","","","",""
"035","Clefairy","Generation I","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Pound","Normal","7","Body Slam","Normal","40","6.56kg","8.44kg","0.53m","0.68m","1km (Medium)","140 stamina points.","107 attack points.","116 defense points.","10% chance to flee.","","","","","","","","","173","Cleffa","50","Clefairy candies","36","Clefable","1074","1200"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Disarming Voice","Fairy","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Moonblast","Fairy","85","","","","","","","","","","","","","","","","","","","","","","","","",""
